date,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°)
2016 01 17 13:00:00,1.2,0,0,64,7.6,360
2016 01 17 14:00:00,1.4,0,0,88,8.7,5
2016 01 17 15:00:00,1.8,0,0,90,9.5,9
2016 01 17 16:00:00,1.7,0,0,90,9.3,16
2016 01 17 17:00:00,1.6,0,0,90,7.9,24
2016 01 17 18:00:00,1.6,0,0,90,7.7,28
2016 01 17 19:00:00,1.5,0.2,0,90,7,12
2016 01 17 20:00:00,1.1,0.3,0,90,8.3,360
2016 01 17 21:00:00,0.9,0.4,0,76,8.9,346
2016 01 17 22:00:00,-0.3,0.4,0,90,8,350
2016 01 17 23:00:00,-0.3,0.4,0,83,5.7,342
2016 01 18 00:00:00,0,0.2,0,54,5.5,328
2016 01 18 01:00:00,-0.1,0,0,34,5.5,293
2016 01 18 02:00:00,-0.3,0,0,2,6.1,270
2016 01 18 03:00:00,-0.8,0,0,2,6.5,264
2016 01 18 04:00:00,-1,0,0,0,7.8,248
2016 01 18 05:00:00,-0.9,0,0,0,9.5,245
2016 01 18 06:00:00,-0.9,0,0,0,10.8,249
2016 01 18 07:00:00,-0.9,0,0,0,13.2,253
2016 01 18 08:00:00,-1,0,0,0,15.6,263
2016 01 18 09:00:00,-0.7,0,0,4,18,273
2016 01 18 10:00:00,-3.2,0,0,27,20.2,281
2016 01 18 11:00:00,-3.8,0,0,52,23.3,290
2016 01 18 12:00:00,-4.6,0,0,32,24.2,295
2016 01 18 13:00:00,-4.9,0,0,0,23.8,295
2016 01 18 14:00:00,-4.7,0,0,27,26.3,299
2016 01 18 15:00:00,-4.1,0,0,73,29.1,306
2016 01 18 16:00:00,-3.6,0,0,66,28.9,306
2016 01 18 17:00:00,-3.1,0,0,31,28.6,301
2016 01 18 18:00:00,-2.8,0,0,39,28.7,297
2016 01 18 19:00:00,-2.8,0,0,36,28.4,294
2016 01 18 20:00:00,-2.9,0,0,43,28.6,291
2016 01 18 21:00:00,-3.4,0,0,32,27.1,289
2016 01 18 22:00:00,-4.6,0,0,5,22.6,284
2016 01 18 23:00:00,-4.9,0,0,6,23.9,281
2016 01 19 00:00:00,-5.2,0,0,0,25.7,281
2016 01 19 01:00:00,-5.6,0,0,0,25,277
2016 01 19 02:00:00,-5.9,0,0,0,24.5,273
2016 01 19 03:00:00,-6.4,0,0,0,23.4,268
2016 01 19 04:00:00,-6.5,0,0,0,23.4,266
2016 01 19 05:00:00,-6.8,0,0,0,24.1,268
2016 01 19 06:00:00,-6.9,0,0,0,23.8,269
2016 01 19 07:00:00,-6.9,0,0,0,23.4,271
2016 01 19 08:00:00,-7.1,0,0,0,22.7,272
2016 01 19 09:00:00,-6.8,0,0,0,22.3,272
2016 01 19 10:00:00,-7.6,0,0,0,22,274
2016 01 19 11:00:00,-7.6,0,0,0,22,272
2016 01 19 12:00:00,-7.7,0,0,0,20.9,270
2016 01 19 13:00:00,-7.6,0,0,0,20.5,272
2016 01 19 14:00:00,-7,0,0,16,24.4,278
2016 01 19 15:00:00,-5.5,0,0,77,29,293
2016 01 19 16:00:00,-4.5,0,0,50,28.8,294
2016 01 19 17:00:00,-3.5,0,0,14,29.6,296
2016 01 19 18:00:00,-3,0,0,10,30.6,297
2016 01 19 19:00:00,-2.6,0,0,52,32.2,299
2016 01 19 20:00:00,-2.3,0,0,52,31.6,300
2016 01 19 21:00:00,-2.1,0,0,8,25.9,297
2016 01 19 22:00:00,-2.9,0,0,1,18.8,299
2016 01 19 23:00:00,-3.1,0,0,1,18.1,291
2016 01 20 00:00:00,-3.3,0,0,0,18.7,289
2016 01 20 01:00:00,-3.2,0,0,2,20,288
2016 01 20 02:00:00,-3.2,0,0,3,20.6,286
2016 01 20 03:00:00,-3.2,0,0,3,21.1,290
2016 01 20 04:00:00,-3,0,0,1,21.1,293
2016 01 20 05:00:00,-2.8,0,0,7,20.9,297
2016 01 20 06:00:00,-2.4,0,0,9,20.7,301
2016 01 20 07:00:00,-2.6,0,0,1,19.1,302
2016 01 20 08:00:00,-2.7,0,0,3,17.2,299
2016 01 20 09:00:00,-2.9,0,0,4,16.4,299
2016 01 20 10:00:00,-2.9,0,0,9,10.1,297
2016 01 20 11:00:00,-2.7,0,0,9,9.2,296
2016 01 20 12:00:00,-2.7,0,0,0,8.9,291
2016 01 20 13:00:00,-2.6,0,0,4,9,286
2016 01 20 14:00:00,-1.6,0,0,0,10.7,290
2016 01 20 15:00:00,0,0,0,12,14.5,312
2016 01 20 16:00:00,0.8,0,0,27,14.8,315
2016 01 20 17:00:00,1.4,0,0,32,13.3,311
2016 01 20 18:00:00,2.2,0,0,41,11.4,305
2016 01 20 19:00:00,2.5,0,0,73,10.2,302
2016 01 20 20:00:00,2.6,0,0,77,8.5,298
2016 01 20 21:00:00,2.2,0,0,83,4,275
2016 01 20 22:00:00,1.3,0,0,89,5.8,277
2016 01 20 23:00:00,0.5,0,0,83,5.2,286
2016 01 21 00:00:00,-0.1,0,0,82,5.5,302
2016 01 21 01:00:00,-0.2,0,0,87,5.4,307
2016 01 21 02:00:00,-0.5,0,0,82,5.6,310
2016 01 21 03:00:00,-0.9,0,0,78,5.4,318
2016 01 21 04:00:00,-0.9,0,0,59,5,330
2016 01 21 05:00:00,-1.2,0,0,58,5.4,323
2016 01 21 06:00:00,-1.6,0,0,57,6,327
2016 01 21 07:00:00,-1.7,0,0,57,6.3,329
2016 01 21 08:00:00,-1.9,0,0,56,7.1,330
2016 01 21 09:00:00,-2.3,0,0,55,8.4,329
2016 01 21 10:00:00,-3.6,0,0,4,7.3,327
2016 01 21 11:00:00,-3.9,0,0,0,8.1,315
2016 01 21 12:00:00,-4,0,0,0,8.9,313
2016 01 21 13:00:00,-4,0,0,0,10.2,312
2016 01 21 14:00:00,-2.4,0,0,0,13.5,326
2016 01 21 15:00:00,-0.6,0,0,1,15.4,327
2016 01 21 16:00:00,0.4,0,0,0,16.5,314
2016 01 21 17:00:00,1.3,0,0,6,16.1,312
2016 01 21 18:00:00,1.7,0,0,6,16.8,312
2016 01 21 19:00:00,2.1,0,0,16,17.8,312
2016 01 21 20:00:00,1.9,0,0,25,17.9,310
2016 01 21 21:00:00,1.6,0,0,27,15.2,306
2016 01 21 22:00:00,-0.3,0,0,33,12,309
2016 01 21 23:00:00,-0.9,0,0,37,11.8,308
2016 01 22 00:00:00,-1.3,0,0,4,12,311
2016 01 22 01:00:00,-1.6,0,0,0,12,311
2016 01 22 02:00:00,-2.1,0,0,0,13,314
2016 01 22 03:00:00,-2.8,0,0,0,14.8,319
2016 01 22 04:00:00,-3.3,0,0,0,15.8,319
2016 01 22 05:00:00,-4,0,0,0,15.1,320
2016 01 22 06:00:00,-4.8,0,0,0,14.1,328
2016 01 22 07:00:00,-4.9,0,0,2,13,326
2016 01 22 08:00:00,-5.4,0,0,0,10.9,333
2016 01 22 09:00:00,-5.7,0,0,1,8.9,328
2016 01 22 10:00:00,-6.7,0,0,0,11.5,346
2016 01 22 11:00:00,-6.7,0,0,0,10.2,342
2016 01 22 12:00:00,-6.5,0,0,0,10.5,352
2016 01 22 13:00:00,-6.3,0,0,20,13,5
2016 01 22 14:00:00,-5,0,0,30,13.7,5
2016 01 22 15:00:00,-3.5,0,0,30,9.7,345
2016 01 22 16:00:00,-2.9,0,0,31,8.7,353
2016 01 22 17:00:00,-2.2,0,0,48,10.5,6
2016 01 22 18:00:00,-1.8,0,0,86,8.4,7
2016 01 22 19:00:00,-1.9,0,0,89,5.4,360
2016 01 22 20:00:00,-1.8,0,0,90,7,21
2016 01 22 21:00:00,-1.8,0,0,90,7.4,23
2016 01 22 22:00:00,-2.1,0,0,90,7.1,24
2016 01 22 23:00:00,-2.2,0,0,90,4.7,23
2016 01 23 00:00:00,-2.2,0,0,90,6.6,29
2016 01 23 01:00:00,-2.4,0,0,90,6.6,29
2016 01 23 02:00:00,-2.5,0.1,0,90,9.4,32
2016 01 23 03:00:00,-2.6,0.2,0,90,9.9,33
2016 01 23 04:00:00,-2.6,0.3,0,90,13.4,36
2016 01 23 05:00:00,-2.9,0.4,0,88,15.6,40
2016 01 23 06:00:00,-2.9,0.6,0,90,18.8,43
2016 01 23 07:00:00,-3.2,0.8,0,93,21,38
2016 01 23 08:00:00,-3.4,0.8,0,100,23.9,37
2016 01 23 09:00:00,-3.2,1.1,0,100,25.1,38
2016 01 23 10:00:00,-3.7,1.5,0,100,27.8,42
2016 01 23 11:00:00,-3.6,2.3,0,85,30.9,36
2016 01 23 12:00:00,-3.2,2.9,0,100,32.3,45
2016 01 23 13:00:00,-2.9,2.8,0,100,35.9,43
2016 01 23 14:00:00,-2.9,2.8,0,100,36.8,39
2016 01 23 15:00:00,-2.5,4.1,0,100,37.7,38
2016 01 23 16:00:00,-2.3,3,0,100,37.3,37
2016 01 23 17:00:00,-2.2,2.8,0,100,36.5,34
2016 01 23 18:00:00,-2.2,2.7,0,100,34.7,31
2016 01 23 19:00:00,-2.3,2.4,0,100,33.8,27
2016 01 23 20:00:00,-2.5,2.2,0,100,33.2,24
2016 01 23 21:00:00,-2.4,2.1,0,100,32.9,25
2016 01 23 22:00:00,-3,2.1,0,100,31.8,20
2016 01 23 23:00:00,-3.2,2,0,91,32.6,16
2016 01 24 00:00:00,-3.1,1.6,0,90,32.2,14
2016 01 24 01:00:00,-3.2,1.2,0,90,31.6,7
2016 01 24 02:00:00,-3.1,0.8,0,90,31,2
2016 01 24 03:00:00,-2.8,0.6,0,93,29.2,1
2016 01 24 04:00:00,-2.6,0.4,0,82,26.3,359
2016 01 24 05:00:00,-2.6,0.3,0,82,24.9,356
2016 01 24 06:00:00,-2.6,0.2,0,71,25,354
2016 01 24 07:00:00,-2.6,0,0,47,24.3,354
2016 01 24 08:00:00,-3.3,0,0,4,23.6,352
2016 01 24 09:00:00,-4.7,0,0,0,22.4,349
2016 01 24 10:00:00,-6.4,0,0,0,20.8,346
2016 01 24 11:00:00,-6.3,0,0,0,19.7,345
2016 01 24 12:00:00,-6.3,0,0,0,18.4,343
2016 01 24 13:00:00,-6.3,0,0,0,18.1,337
2016 01 24 14:00:00,-5.7,0,0,0,16.5,337
2016 01 24 15:00:00,-4.1,0,0,0,15,333
2016 01 24 16:00:00,-3.3,0,0,0,14.8,326
2016 01 24 17:00:00,-1.9,0,0,4,13.8,319
2016 01 24 18:00:00,-1.3,0,0,6,12.7,315
2016 01 24 19:00:00,-0.5,0,0,3,12.3,308
2016 01 24 20:00:00,-0.4,0,0,11,10.3,299
2016 01 24 21:00:00,-1.2,0,0,49,8.9,297
2016 01 24 22:00:00,-1.4,0.2,0,60,8.4,290
2016 01 24 23:00:00,-1.3,0,0,21,9.2,291
2016 01 25 00:00:00,-2.5,0,0,25,8.6,292
2016 01 25 01:00:00,-2.5,0,0,2,9.5,299
2016 01 25 02:00:00,-2.8,0,0,15,8.9,302
2016 01 25 03:00:00,-3.1,0,0,23,9.7,301
2016 01 25 04:00:00,-3.1,0,0,46,8.3,304
2016 01 25 05:00:00,-3.4,0,0,40,7.8,304
2016 01 25 06:00:00,-3.7,0,0,16,7.2,307
2016 01 25 07:00:00,-4.5,0,0,11,7.8,304
2016 01 25 08:00:00,-4.8,0,0,1,7,305
2016 01 25 09:00:00,-6,0,0,2,6.9,309
2016 01 25 10:00:00,-6.8,0,0,20,8.4,313
2016 01 25 11:00:00,-7.2,0,0,12,7.7,319
2016 01 25 12:00:00,-7.4,0,0,2,7.1,319
2016 01 25 13:00:00,-7.8,0,0,1,5.5,337
2016 01 25 14:00:00,-5.1,0,0,10,5.3,332
2016 01 25 15:00:00,-1.7,0,0,27,2.4,297
2016 01 25 16:00:00,-0.1,0,0,32,1.5,256
2016 01 25 17:00:00,1.4,0,0,43,2.1,211
2016 01 25 18:00:00,0.2,0,0,69,2.5,188
2016 01 25 19:00:00,0.5,0,0,47,4,185
2016 01 25 20:00:00,0.5,0,0,31,4.8,167
2016 01 25 21:00:00,0.7,0,0,30,7.6,149
2016 01 25 22:00:00,-1,0,0,29,8.3,146
2016 01 25 23:00:00,-2,0,0,12,7.8,167
2016 01 26 00:00:00,-2.5,0,0,0,8.3,178
2016 01 26 01:00:00,-3.4,0,0,0,8.3,185
2016 01 26 02:00:00,-4.3,0,0,26,8.7,187
2016 01 26 03:00:00,-4.4,0,0,29,10.9,186
2016 01 26 04:00:00,-3.4,0,0,37,9.8,188
2016 01 26 05:00:00,-1.9,0,0,29,8.7,187
2016 01 26 06:00:00,-1.4,0,0,32,9.4,203
2016 01 26 07:00:00,-1.6,0,0,9,10.2,212
2016 01 26 08:00:00,-2.6,0,0,6,10.5,202
2016 01 26 09:00:00,-2.8,0,0,28,11.1,205
2016 01 26 10:00:00,-3,0,0,29,9.8,216
2016 01 26 11:00:00,-3,0,0,27,9.8,208
2016 01 26 12:00:00,-2,0,0,30,9.3,208
2016 01 26 13:00:00,-1.4,0,0,57,11.8,220
2016 01 26 14:00:00,0.3,0,0,73,13,226
2016 01 26 15:00:00,3.2,0,0,100,11.9,209
2016 01 26 16:00:00,4.6,0,0,58,12.2,204
2016 01 26 17:00:00,5.6,0,0,65,13.2,215
2016 01 26 18:00:00,6.2,0,0,52,11.8,207
2016 01 26 19:00:00,6.8,0,0,33,11.9,209
2016 01 26 20:00:00,7.3,0,0,42,14.1,212
2016 01 26 21:00:00,7.2,0,0,65,15.7,217
2016 01 26 22:00:00,6.6,0,0,87,12.3,212
2016 01 26 23:00:00,6.4,0,0,88,15.1,220
2016 01 27 00:00:00,6.1,0,0,80,15.3,229
2016 01 27 01:00:00,5.9,0,0,60,15.1,232
2016 01 27 02:00:00,5.9,0,0,84,14.7,239
2016 01 27 03:00:00,5.8,0,0,82,12.5,237
2016 01 27 04:00:00,5.7,0.1,0.1,92,12.9,247
2016 01 27 05:00:00,5.4,0.1,0.1,100,11.5,250
2016 01 27 06:00:00,5.1,0,0,100,10.4,256
2016 01 27 07:00:00,5.2,0,0,100,10.1,268
2016 01 27 08:00:00,5.7,0,0,100,10.1,276
2016 01 27 09:00:00,5.5,0,0,100,10.8,285
2016 01 27 10:00:00,4.5,0.1,0.1,100,8.7,300
2016 01 27 11:00:00,4.4,0,0,88,10,296
2016 01 27 12:00:00,4.3,0,0,65,10.5,292
2016 01 27 13:00:00,4,0,0,35,12.1,287
2016 01 27 14:00:00,3.9,0,0,26,12.1,287
2016 01 27 15:00:00,4.3,0,0,16,10.8,285
2016 01 27 16:00:00,4.9,0,0,13,12.6,290
2016 01 27 17:00:00,5.6,0,0,28,13.1,291
2016 01 27 18:00:00,6,0,0,2,11.3,287
2016 01 27 19:00:00,5.9,0,0,44,9.9,280
2016 01 27 20:00:00,5.7,0,0,0,8.6,272
2016 01 27 21:00:00,4.4,0,0,0,7.3,259
2016 01 27 22:00:00,2.2,0,0,0,8.4,301
2016 01 27 23:00:00,1.7,0,0,0,7.6,289
2016 01 28 00:00:00,0.9,0,0,9,8,297
2016 01 28 01:00:00,0.3,0,0,19,8.4,313
2016 01 28 02:00:00,0.1,0,0,11,8.9,320
2016 01 28 03:00:00,-1.7,0,0,6,8.4,317
2016 01 28 04:00:00,-1.2,0,0,1,5.8,292
2016 01 28 05:00:00,-2.7,0,0,0,4.7,270
2016 01 28 06:00:00,-3.8,0,0,0,5.8,263
2016 01 28 07:00:00,-4.6,0,0,2,5.2,282
2016 01 28 08:00:00,-5.5,0,0,38,4.1,285
2016 01 28 09:00:00,-6.4,0,0,45,3.1,306
2016 01 28 10:00:00,-7.8,0,0,46,2.5,352
2016 01 28 11:00:00,-8.6,0,0,44,2.3,18
2016 01 28 12:00:00,-10.1,0,0,44,2.7,337
2016 01 28 13:00:00,-9.8,0,0,44,1.8,349
2016 01 28 14:00:00,-7,0,0,5,3.7,299
2016 01 28 15:00:00,-2.5,0,0,0,3.8,253
2016 01 28 16:00:00,0.8,0,0,0,3.8,253
2016 01 28 17:00:00,2.4,0,0,1,5.6,225
2016 01 28 18:00:00,3.5,0,0,4,6.4,223
2016 01 28 19:00:00,4.1,0,0,16,6.5,214
2016 01 28 20:00:00,4.1,0,0,30,5.8,210
2016 01 28 21:00:00,3,0,0,30,8.4,200
2016 01 28 22:00:00,1.4,0,0,24,8.5,192
2016 01 28 23:00:00,0.5,0,0,28,9.3,196
2016 01 29 00:00:00,0.3,0,0,31,9.1,214
2016 01 29 01:00:00,-0.1,0,0,35,8.7,228
2016 01 29 02:00:00,-0.9,0,0,51,8.7,225
2016 01 29 03:00:00,-1.2,0,0,64,8.1,249
2016 01 29 04:00:00,-1.5,0,0,52,8.6,237
2016 01 29 05:00:00,-0.7,0,0,35,7.2,276
2016 01 29 06:00:00,-0.3,0,0,31,8.7,287
2016 01 29 07:00:00,-0.8,0,0,31,6.9,313
2016 01 29 08:00:00,-1.8,0,0,47,3.3,257
2016 01 29 09:00:00,-1.7,0,0,61,2.9,263
2016 01 29 10:00:00,-2.3,0,0,60,3.1,306
2016 01 29 11:00:00,-2.5,0,0,13,2.9,210
2016 01 29 12:00:00,-3.2,0,0,0,5.9,284
2016 01 29 13:00:00,-3.3,0,0,1,8.9,284
2016 01 29 14:00:00,-1.3,0,0,4,7.2,267
2016 01 29 15:00:00,1.4,0,0,36,9.4,266
2016 01 29 16:00:00,2.2,0.1,0.1,43,10.8,270
2016 01 29 17:00:00,3.6,0,0,51,12,279
2016 01 29 18:00:00,3.8,0.1,0.1,68,14.4,292
2016 01 29 19:00:00,3.6,0,0,58,15.8,300
2016 01 29 20:00:00,3.7,0,0,50,14.9,302
2016 01 29 21:00:00,3.3,0,0,51,15.8,300
2016 01 29 22:00:00,2.9,0,0,64,15.6,299
2016 01 29 23:00:00,2.2,0,0,2,15.5,298
2016 01 30 00:00:00,1.6,0,0,30,17.5,302
2016 01 30 01:00:00,1,0,0,0,17.9,304
2016 01 30 02:00:00,0.5,0,0,1,17.8,302
2016 01 30 03:00:00,-0.6,0,0,4,17.4,304
2016 01 30 04:00:00,-1,0,0,0,16,306
2016 01 30 05:00:00,-1.4,0,0,0,14.4,307
2016 01 30 06:00:00,-2,0,0,0,12.7,305
2016 01 30 07:00:00,-2.2,0,0,0,11.1,299
2016 01 30 08:00:00,-2.7,0,0,0,10.8,291
2016 01 30 09:00:00,-3,0,0,0,10.2,288
2016 01 30 10:00:00,-4.3,0,0,0,8,288
2016 01 30 11:00:00,-4.4,0,0,0,9,286
2016 01 30 12:00:00,-4.4,0,0,0,8.5,282
2016 01 30 13:00:00,-4.5,0,0,0,6.8,273
2016 01 30 14:00:00,-2.6,0,0,0,4.1,255
2016 01 30 15:00:00,-0.3,0,0,3,5,240
2016 01 30 16:00:00,0.6,0,0,16,7.4,223
2016 01 30 17:00:00,1.3,0,0,0,9.3,208
2016 01 30 18:00:00,2,0,0,2,12.1,207
2016 01 30 19:00:00,2.6,0,0,10,13.7,203
2016 01 30 20:00:00,3.1,0,0,26,13.7,198
2016 01 30 21:00:00,3.2,0,0,24,11.8,192
2016 01 30 22:00:00,2.6,0,0,16,9.7,182
2016 01 30 23:00:00,2.2,0,0,11,12.8,190
2016 01 31 00:00:00,1.8,0,0,12,13.7,203
2016 01 31 01:00:00,1.5,0,0,11,14.8,206
2016 01 31 02:00:00,1.5,0,0,8,15.5,211
2016 01 31 03:00:00,1.6,0,0,18,14.8,214
2016 01 31 04:00:00,1.4,0,0,24,13.8,219
2016 01 31 05:00:00,1,0,0,17,12.2,223
2016 01 31 06:00:00,0.4,0,0,29,10.4,224
2016 01 31 07:00:00,0.3,0,0,28,10.4,226
2016 01 31 08:00:00,0,0,0,22,10.4,224
2016 01 31 09:00:00,0,0,0,3,10.3,234
2016 01 31 10:00:00,-0.4,0,0,47,7.8,236
2016 01 31 11:00:00,-0.5,0,0,75,8.4,230
2016 01 31 12:00:00,-0.1,0,0,78,7.9,231
2016 01 31 13:00:00,0.2,0,0,31,8.4,227
2016 01 31 14:00:00,1.8,0,0,19,9.2,225
2016 01 31 15:00:00,4.6,0,0,0,9.2,225
2016 01 31 16:00:00,5.6,0,0,13,7.7,229
2016 01 31 17:00:00,6.8,0,0,21,7.4,227
2016 01 31 18:00:00,7.9,0,0,19,7.9,223
2016 01 31 19:00:00,8.3,0,0,16,9.5,209
2016 01 31 20:00:00,8.7,0,0,21,9.5,191
2016 01 31 21:00:00,8.8,0,0,20,9.7,178
2016 01 31 22:00:00,7.5,0,0,27,9,157
2016 01 31 23:00:00,6.2,0,0,28,10.2,162
2016 02 01 00:00:00,5.8,0,0,22,10.4,180
2016 02 01 01:00:00,5.4,0,0,13,10.5,207
2016 02 01 02:00:00,5.2,0,0,22,10.6,215
2016 02 01 03:00:00,4.6,0,0,22,11.2,213
2016 02 01 04:00:00,4.5,0,0,23,11.8,218
2016 02 01 05:00:00,4.2,0,0,25,11.2,225
2016 02 01 06:00:00,4.3,0,0,26,10.9,226
2016 02 01 07:00:00,4,0,0,31,11.5,231
2016 02 01 08:00:00,4.2,0,0,20,11.8,232
2016 02 01 09:00:00,4.3,0,0,21,11.5,229
2016 02 01 10:00:00,3.7,0,0,19,11,238
2016 02 01 11:00:00,4.2,0,0,21,12.1,233
2016 02 01 12:00:00,4.4,0,0,32,12.4,234
2016 02 01 13:00:00,4.8,0,0,38,12.6,243
2016 02 01 14:00:00,6.1,0,0,48,12.3,249
2016 02 01 15:00:00,8.6,0,0,79,12,249
2016 02 01 16:00:00,10.1,0,0,15,11.3,253
2016 02 01 17:00:00,11.3,0,0,33,9.7,266
2016 02 01 18:00:00,11.1,0,0,57,10.1,274
2016 02 01 19:00:00,11.1,0,0,64,10.2,288
2016 02 01 20:00:00,10.4,0,0,84,11.7,304
2016 02 01 21:00:00,9.4,0,0,90,11.2,320
2016 02 01 22:00:00,8.3,0,0,90,9.8,306
2016 02 01 23:00:00,8.5,0,0,89,10.5,319
2016 02 02 00:00:00,7.9,0,0,68,10.8,334
2016 02 02 01:00:00,7.4,0,0,50,9,331
2016 02 02 02:00:00,7.1,0,0,46,8.2,345
2016 02 02 03:00:00,5.6,0,0,22,9,358
2016 02 02 04:00:00,4.2,0,0,9,9.4,356
2016 02 02 05:00:00,3.1,0,0,0,8.7,353
2016 02 02 06:00:00,2,0,0,0,9.1,353
2016 02 02 07:00:00,1.4,0,0,0,9.6,347
2016 02 02 08:00:00,0.7,0,0,0,10.1,343
2016 02 02 09:00:00,0,0,0,0,10.8,345
2016 02 02 10:00:00,-0.5,0,0,0,10.2,350
2016 02 02 11:00:00,-0.8,0,0,0,9.8,354
2016 02 02 12:00:00,-1.1,0,0,0,9.2,312
2016 02 02 13:00:00,-1,0,0,0,8.9,302
2016 02 02 14:00:00,1.7,0,0,0,6.5,304
2016 02 02 15:00:00,4.9,0,0,0,5.4,312
2016 02 02 16:00:00,5.5,0,0,0,5.5,328
2016 02 02 17:00:00,7.4,0,0,0,5.6,333
2016 02 02 18:00:00,9.5,0,0,0,4.7,337
2016 02 02 19:00:00,9.6,0,0,0,0.7,360
2016 02 02 20:00:00,9.9,0,0,0,2.1,211
2016 02 02 21:00:00,9.8,0,0,0,4.5,194
2016 02 02 22:00:00,7.1,0,0,0,7.6,172
2016 02 02 23:00:00,4.9,0,0,7,10,167
2016 02 03 00:00:00,3.7,0,0,27,9.4,157
2016 02 03 01:00:00,2.9,0,0,19,9.4,176
